id,authoring_tool,cad_doctype,cad_metadata_name,plm_doctype,plm_metadata,plm_metadata_type,update_mode,obsolete,ordering
1,SolidWorks,SLDDRW,FILENAME,CadDrawing,elo:reference,real,CadToPlm,0,10
2,SolidWorks,SLDDRW,Title,CadDrawing,dc:title,real,CadToPlm,0,20
3,SolidWorks,SLDDRW,AuthoringTool,CadDrawing,cad:authoringTool,real,CadToPlm,0,30
4,SolidWorks,SLDDRW,AuthoringToolVersion,CadDrawing,cad:authoringToolVersion,real,CadToPlm,0,40
5,SolidWorks,SLDDRW,IntegrationTool,CadDrawing,cad:integrationTool,real,CadToPlm,0,50
6,SolidWorks,SLDPRT,FILENAME,CadPart,elo:reference,real,CadToPlm,0,60
7,SolidWorks,SLDPRT,Title,CadPart,dc:title,real,CadToPlm,0,70
8,SolidWorks,SLDPRT,ActiveConfigurationName,CadPart,cad:activeConfiguration,real,CadToPlm,0,80
9,SolidWorks,SLDPRT,Material,CadPart,cad:cadMaterial,real,CadToPlm,0,90
10,SolidWorks,SLDPRT,AuthoringTool,CadPart,cad:authoringTool,real,CadToPlm,0,100
11,SolidWorks,SLDPRT,AuthoringToolVersion,CadPart,cad:authoringToolVersion,real,CadToPlm,0,110
12,SolidWorks,SLDPRT,IntegrationTool,CadPart,cad:integrationTool,real,CadToPlm,0,120
13,SolidWorks,SLDASM,FILENAME,CadAssembly,elo:reference,real,CadToPlm,0,130
14,SolidWorks,SLDASM,Title,CadAssembly,dc:title,real,CadToPlm,0,140
15,SolidWorks,SLDASM,ActiveConfigurationName,CadAssembly,cad:activeConfiguration,real,CadToPlm,0,150
16,SolidWorks,SLDASM,AuthoringTool,CadAssembly,cad:authoringTool,real,CadToPlm,0,160
17,SolidWorks,SLDASM,AuthoringToolVersion,CadAssembly,cad:authoringToolVersion,real,CadToPlm,0,170
18,SolidWorks,SLDASM,IntegrationTool,CadAssembly,cad:integrationTool,real,CadToPlm,0,180
19,SolidWorks,SLDDTB,Title,CadDesignTable,dc:title,real,CadToPlm,0,190
20,SolidWorks,SLDDTB,TB_FILENAME,CadDesignTable,elo:reference,real,CadToPlm,0,200
21,SolidWorks,SLDDTB,AuthoringTool,CadDesignTable,cad:authoringTool,real,CadToPlm,0,210
